期,小区,户型,面积,月租,楼层,来源
2026-08,演示小区A,2室1厅,77.9,5000,高,租赁平台甲
2026-08,演示小区A,3室1厅,55.1,3920,低,租赁平台甲
2026-08,演示小区A,3室1厅,80.4,4720,低,租赁平台甲
2026-08,演示小区A,3室1厅,49.6,3790,中,租赁平台甲
2026-08,演示小区A,1室1厅,79.2,4630,中,租赁平台甲
2026-08,演示小区A,2室1厅,56.0,4070,中,租赁平台甲
2026-08,演示小区A,2室1厅,64.3,4490,中,租赁平台甲
2026-08,演示小区A,1室1厅,55.2,3800,中,租赁平台甲
2026-08,演示小区A,2室1厅,108.3,6200,高,租赁平台甲
2026-08,演示小区A,3室1厅,86.9,4780,中,租赁平台甲
2026-08,演示小区A,3室1厅,119.8,6760,中,租赁平台甲
2026-08,演示小区A,2室1厅,100.8,6170,高,租赁平台甲
2026-08,演示小区A,1室1厅,103.0,5980,高,租赁平台甲
2026-08,演示小区A,3室1厅,94.3,5290,高,租赁平台甲
2026-08,演示小区A,2室1厅,63.9,4690,低,租赁平台甲
2026-08,演示小区A,单间,12.0,2200,高,租赁平台乙
2026-08,演示小区A,单间,15.5,2600,中,租赁平台乙
