期,城市,区县,土地面积,规划建筑面积,成交总价,楼面价,用途,出让条件
2026Q2,演示市,演示区,14079.0,23465.0,6.31,26907,住宅,无
2026Q2,演示市,演示区,31013.0,51688.0,10.67,20637,住宅,限价+摇号
2026Q2,演示市,演示区,52311.0,87185.0,15.64,17938,商业,自持10年
2026Q2,演示市,演示区,18093.0,30155.0,10.23,33921,住宅,无偿移交幼儿园
2026Q2,演示市,演示区,15702.0,26170.0,5.24,20025,住宅,限价+摇号
2026Q2,演示市,演示区,51155.0,85259.0,22.9,26858,住宅,限价+摇号
2026Q2,演示市,演示区,24260.0,40433.0,7.11,17589,住宅,无
2026Q2,演示市,演示区,27689.0,46149.0,12.37,26807,住宅,自持10年
2026Q2,演示市,演示区,48232.0,80386.0,20.41,25396,商业,限价+摇号
2026Q2,演示市,演示区,24917.0,41528.0,9.99,24049,住宅,无偿移交幼儿园
2026Q2,演示市,演示区,35833.0,59722.0,17.77,29749,商业,无
2026Q2,演示市,演示区,24361.0,40602.0,8.32,20482,住宅,自持10年
